name,phone_numbers,officialPhone,email,websites,officialWebsite,yearEstablished,facebookLink,twitterLink,linkedinLink,instagramLink,address_line1,address_line2,address_line3,address_city,address_stateOrRegion,address_zipOrPostcode,address_country,address_countryCode,facilityTypeId,operatorTypeId,affiliationTypeIds,description,numberDoctors,capacity,specialties,procedure,equipment,capability,recency_of_page_update,distinct_social_media_presence_count,affiliated_staff_presence,custom_logo_presence,number_of_facts_about_the_organization,post_metrics_most_recent_social_media_post_date,post_metrics_post_count,engagement_metrics_n_followers,engagement_metrics_n_likes,engagement_metrics_n_engagements,latitude,longitude
Calcutta Helping Hands Clinics,"[""+918017966890""]",+918017966890,help@chhc.in,"[""https://www.facebook.com/p/Calcutta-Helping-Hands-Clinics-100063633832925/"",""http://www.chhc.in/"",""https://www.justdial.com/Kolkata/Calcutta-Helping-Hands-Clinics-Next-Chittaranjan-National-Cancer-Institute/033PXX33-XX33-240912155343-X9E8_BZDET"",""chhc.in"",""https://www.facebook.com/100063633832925/about/""]",chhc.in,null,https://www.facebook.com/103782921467836,null,null,null,"Bengal Greenfield Height, 3sc, 2nd Floor, Galaxy Complex",New Town Action Area 1,Next To Chittaranjan National Cancer Institute,Kolkata,West Bengal,700156,India,IN,clinic,null,null,Orthopaedic Hand Clinic,null,null,"[""familyMedicine""]",[],[],"[""Operates in Kolkata, West Bengal"",""Speciality orthopaedic clinic for hand and wrist problems"",""Wheelchair accessible with car parking facilities""]",null,1,FALSE,TRUE,null,2022-03-14,null,183,null,null,22.56736183,88.47058105
Ageless Smiles Dental Clinic,"[""+918451046496""]",null,null,"[""https://kivihealth.com/clinic/ageless-smiles-dental-clinic-"",""https://www.justdial.com/Mumbai/Ageless-Smiles-Dental-Clinic/022PXX22-XX22-230209182157-Z5B8_BZDET""]",null,null,https://www.facebook.com/104949789053676,null,null,null,"Ground Floor, Shri Santoshimata Society, Bhatwadi, Kaju Pada","Bhatwadi, Ghatkopar West - 84, Barve Nagar",null,Ghatkopar West,Maharashtra,400084,India,IN,clinic,private,null,Ageless Smiles Dental clinic,1,null,"[""dentistry"",""familyMedicine""]","[""Performs wisdom tooth extraction""]","[""Dental chair with attached instrument tray""]",null,null,null,null,TRUE,null,null,null,null,null,null,19.09459686,72.89990234
Dr. Vinayak Das's Clinic,"[""+918016084200"",""+919733277777"",""+916296548909""]",+918016084200,drvinayakdasquery@gmail.com,"[""https://www.drvinayakdas.com/"",""https://www.drvinayakdas.com/treatments/diagnostic-office-procedures""]",https://www.drvinayakdas.com/,null,https://www.facebook.com/104036074454597,null,null,null,"New Ramkrishna Seva Sadan, Nazrul Sarani, Pakurtala More, Ashrampara",null,null,Siliguri,West Bengal,734001,India,IN,clinic,private,null,Dr. Vinayak Das's clinic in Siliguri offering in-clinic diagnostic and office procedures for women's health.,null,null,"[""maternalFetalMedicineOrPerinatology"",""familyMedicine"",""gynecologyAndObstetrics""]","[""Laparoscopic Hysterectomy"",""Diagnostic Laparoscopy"",""Laparoscopic Myomectomy"",""Dilation and Curettage (D&C)"",""Laparoscopic Tubal Recanalization"",""Colposcopy"",""Pap Smear (Cervical Cytology)"",""Laparoscopic Surgery for Ectopic Pregnancy"",""Ectopic Pregnancy Surgery"",""Ovarian Cystectomy"",""Endometrial Biopsy"",""Laparoscopic Tubal Ligation"",""Transvaginal / Pelvic Ultrasound"",""Salpingectomy"",""Cervical Stitch Procedure"",""Myomectomy (Open or Laparoscopic)"",""Evacuation of Retained Products of Conception (ERPC)"",""Laparoscopic Ovarian Cystectomy"",""Assisted Vaginal Delivery (Vacuum / Forceps)"",""Pelvic Examination"",""Hysteroscopy"",""Hysterectomy (Abdominal / Vaginal / Laparoscopic / Robotic)"",""Laparoscopic Endometriosis Excision or Ablation"",""Laparoscopic Salpingectomy"",""Salpingo-Oophorectomy"",""Normal Vaginal Delivery (NVD)"",""Cesarean Section (C-section)"",""Manual Removal of Placenta""]","[""Laparoscopic surgical equipment for gynecological procedures"",""Ultrasound machine capable of transvaginal and pelvic ultrasound""]","[""Specializes in pregnancy management, fetal medicine, and high-risk pregnancy"",""Offers gynecologic laparoscopy and minimally invasive gynecologic surgeries including laparoscopic and robotic approaches"",""Outpatient obstetric and gynecological care with in-clinic diagnostic and office procedures"",""Most procedures are outpatient and can be completed in a single visit""]",null,4,TRUE,TRUE,null,null,null,null,null,null,26.71160316,88.42304993
Dr. Pandey's Dental and Cosmetology Clinic,"[""+919425607239""]",+919425607239,drpandeys.bhopal@gmail.com,"[""https://wa.me/917974237025"",""https://indiadental.co.in/dr-pandeys-dental-clinic/"",""https://www.facebook.com/1024804417594628"",""https://www.facebook.com/dr.pandeysdentalskinhairlaserclinic/"",""drpandeys.com""]",drpandeys.com,null,https://www.facebook.com/1024804417594628,null,null,null,41/a Opposite Tajul Masjid Royal Market,"Near General Post Office, Royal Market",Kali Basti Peer Gate Area,Bhopal,Madhya Pradesh,462001,India,IN,clinic,private,null,"Dr. Pandey's Dental and cosmetology Clinic is in Bhopal, India.",null,null,"[""cosmeticDermatology"",""familyMedicine"",""orthodontics"",""prosthodontics"",""oralAndMaxillofacialSurgery"",""dentistry"",""aestheticDentistry""]","[""Offers permanent laser hair reduction"",""Offers smile designing"",""Performs dental scaling and polishing"",""Provides crown and bridge placements"",""Offers acne treatments"",""Offers cosmetic dentistry procedures"",""Offers root canal treatment and fillings"",""Offers tattoo removal"",""Offers Hydrafacial"",""Offers mesotherapy"",""Offers dental implant planning"",""Provides dental braces and dentures"",""Offers laser carbon facial"",""Provides dental implants""]","[""State-of-the-art technology and infrastructure for dental care""]","[""Dr. Mayuri Jain Pandey holds an MDS degree"",""Led by Dr. Swapnil Pandey and Dr. Mayuri Jain Pandey"",""Dr. Mayuri Jain Pandey (MDS) and Dr. Swapnil Pandey (MDS) are doctors at the clinic"",""Offers cosmetology services including laser carbon facial, permanent laser hair reduction, tattoo removal, Hydrafacial, mesotherapy, and acne treatments"",""Located in Bhopal, Madhya Pradesh, India"",""Quality policy focused on ethical, reliable, high-quality, and cost-effective dental care through adoption of latest technology and equipment"",""Offers general dentistry, orthodontics, implants, crown and bridge, smile designing, and cosmetic dentistry procedures"",""Operates as a dental and cosmetology clinic"",""Dr. Swapnil Pandey holds an MDS degree""]",null,1,TRUE,TRUE,null,null,null,672,665,null,23.28796005,77.34669495
Dr-Hashim Raza/SMILE Maker Dental Clinic,"[""+918294593249""]",+918294593249,drhashimr@gmail.com,"[""https://www.facebook.com/883389825173297"",""https://www.facebook.com/229389230854398""]",null,null,https://www.facebook.com/229389230854398,null,null,null,Chahat Medicose,Opposite Dr P C Das Binodpur,null,Katihar,Bihar,854105,India,IN,clinic,private,null,All kind of dental solutions,null,null,"[""dentistry"",""familyMedicine""]",null,null,"[""Offers all kinds of dental solutions"",""Based in Katihar, Bihar, India""]",null,1,null,null,null,null,null,1200,1200,7,25.62045097,87.50808716
City Multispeciality Dental Clinic,"[""+919970522880"",""+919860726786""]",+919860726786,dr.irfantamboli@gmail.com,"[""http://citymultispeciality.dental-clinic.in/"",""https://www.facebook.com/101067818269689"",""citymultispeciality.dental-clinic.in"",""https://chotu.com/local/dental-clinics-in-solapur-maharashtra-india/ct-18419300/""]",citymultispeciality.dental-clinic.in,null,https://www.facebook.com/101067818269689,null,null,null,"Mahatma Phule Chowk, Station Rd, Kadlas Naka",null,null,Sangola,Maharashtra,413307,India,IN,dentist,null,null,Centre for advanced dentistry and implantology,null,null,"[""familyMedicine"",""generalDentistry"",""orthodontics"",""endodontics"",""dentistry"",""aestheticDentistry""]",[],[],"[""Offers advanced dentistry and dental implantology services"",""Operates as multispeciality dental clinic"",""Located in Sangola, Maharashtra""]",null,1,TRUE,null,null,null,null,267,265,null,17.43458176,75.18840027
Bliss Homeopathic Clinic,"[""+917990348887""]",+917990348887,beenabhadja@gmail.com,"[""https://www.practo.com/ahmedabad/clinic/bliss-homeopathic-clinic-dr-beena-bhadja-ramdev-nagar"",""https://bliss-homeopathic-clinic.vizcards.in/"",""https://www.facebook.com/blisshomeo1305/""]",https://bliss-homeopathic-clinic.vizcards.in/,null,https://www.facebook.com/106645155355213,null,null,null,"21, Shyamtirth Complex","B/s Ratnaakar Halcyon, Opp.sargam App.","Jodhpurgam, Satellite",Ahmedabad,Gujarat,380001,India,IN,clinic,private,null,"our purpose is to provide holistic way of healing , where classical homeopathic treatment for all kind of acute and chronic diseases like skin disease, gastric disease, allergic disease, child developmental disorders, gynecological dis. have been treated.",1,null,"[""familyMedicine""]",null,null,null,null,5,TRUE,FALSE,null,null,null,null,null,null,23.0185318,72.51506042
Shri Ganesh Homoeopathic Clinic Burahanapur,"[""+919179633344""]",+919179633344,dr.subodhpatil22@gmail.com,"[""https://www.facebook.com/100057828092513/posts/online-consultation-courier-services-available-book-your-appointment-highlightse/962448772359384/"",""https://www.facebook.com/1389771044415163""]",null,null,https://www.facebook.com/1389771044415163,null,null,null,1st Floor Bhagat Plaza,Pandumal Chouraha Near Bhagat Watch Company,Rajpura Road,Burhanpur,Madhya Pradesh,450331,India,IN,clinic,null,null,Online Consultation & Courier Services Available. Book Your Appointment.,null,null,"[""familyMedicine""]",[],[],"[""Operates as a homoeopathic clinic"",""Located in Burhanpur, Madhya Pradesh, India"",""Offers courier services for medication delivery"",""Offers online consultation services"",""Provides homoeopathic medical services""]",2024-10-24,1,TRUE,null,null,2024-10-24,null,714,701,null,21.30662727,76.23138428
Bamuntary Polyclinic,"[""+919707511701""]",+919707511701,mybpdc@gmail.com,"[""https://www.facebook.com/100774308387996""]",null,null,https://www.facebook.com/100774308387996,null,null,null,"Bamuntary Chariali, State Highway",null,null,Barpeta,Assam,781319,India,IN,clinic,null,null,A Multi Speciality Clinic. We believe in quality care.,null,null,"[""familyMedicine""]",null,null,null,null,null,null,null,null,null,null,null,null,null,26.35776138,90.87617493
UDAY Homoeo CARE,"[""+918106871024"",""+918096971024""]",+918106871024,null,"[""https://www.facebook.com/107894304395032"",""https://www.bharatibiz.com/en/uday-homeo-care-081068-71024""]",null,null,https://www.facebook.com/107894304395032,null,null,null,"Beside Old Reliance Petrol Bunk ,narsipatnam To Anakapalli Main Road",null,null,Narsipatnam,Andhra Pradesh,531116,India,IN,clinic,private,null,"Uday Homeo Care is a hospital in Narsipatnam, Andhra Pradesh, India. ISIC Codes: 8610.",null,null,"[""familyMedicine"",""internalMedicine""]",null,null,"[""Engaged in hospital activities"",""ISIC code 8610"",""Operates as a hospital""]",null,null,null,null,null,null,null,null,null,null,17.66189194,82.6214447
